# Constructed from biom file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#OTU ID,M.T1.R1.S1.16S.S50,M.T1.R1.S2.16S.S62,M.T1.R1.S3.16S.S74,M.T1.R2.S1.16S.S86,M.T1.R2.S2.16S.S3,M.T1.R2.S3.16S.S15,M.T1.R3.S1.16S.S27,M.T1.R3.S2.16S.S39,M.T1.R3.S3.16S.S51,M.T1.R4.S1.16S.S63,M.T1.R4.S2.16S.S75,M.T1.R4.S3.16S.S87,M.T2.R1.S1.16S.S53,M.T2.R1.S2.16S.S65,M.T2.R1.S3.16S.S77,M.T2.R2.S1.16S.S89,M.T2.R2.S2.16S.S6,M.T2.R2.S3.16S.S18,M.T2.R3.S1.16S.S30,M.T2.R3.S2.16S.S42,M.T2.R3.S3.16S.S54,M.T2.R4.S1.16S.S66,M.T2.R4.S2.16S.S78,M.T2.R4.S3.16S.S90,M.T3.R1.S1.16S.S56,M.T3.R1.S2.16S.S68,M.T3.R1.S3.16S.S80,M.T3.R2.S1.16S.S92,M.T3.R2.S2.16S.S9,M.T3.R2.S3.16S.S21,M.T3.R3.S1.16S.S33,M.T3.R3.S2.16S.S45,M.T3.R3.S3.16S.S57,M.T3.R4.S1.16S.S69,M.T3.R4.S2.16S.S81,M.T3.R4.S3.16S.S93,M.T4.R1.S1.16S.S59,M.T4.R1.S2.16S.S71,M.T4.R1.S3.16S.S83,M.T4.R2.S1.16S.S95,M.T4.R2.S2.16S.S12,M.T4.R2.S3.16S.S24,M.T4.R3.S1.16S.S36,M.T4.R3.S2.16S.S48,M.T4.R3.S3.16S.S60,M.T4.R4.S1.16S.S72,M.T4.R4.S2.16S.S193,M.T4.R4.S3.16S.S203,U.T1.R1.S1.16S.S1,U.T1.R1.S2.16S.S13,U.T1.R1.S3.16S.S25,U.T1.R2.S1.16S.S37,U.T1.R2.S2.16S.S49,U.T1.R2.S3.16S.S61,U.T1.R3.S1.16S.S73,U.T1.R3.S2.16S.S85,U.T1.R3.S3.16S.S2,U.T1.R4.S1.16S.S14,U.T1.R4.S2.16S.S26,U.T1.R4.S3.16S.S38,U.T2.R1.S1.16S.S4,U.T2.R1.S2.16S.S16,U.T2.R1.S3.16S.S28,U.T2.R2.S1.16S.S40,U.T2.R2.S2.16S.S52,U.T2.R2.S3.16S.S64,U.T2.R3.S1.16S.S76,U.T2.R3.S2.16S.S88,U.T2.R3.S3.16S.S5,U.T2.R4.S1.16S.S17,U.T2.R4.S2.16S.S29,U.T2.R4.S3.16S.S41,U.T3.R1.S1.16S.S7,U.T3.R1.S2.16S.S19,U.T3.R1.S3.16S.S31,U.T3.R2.S1.16S.S43,U.T3.R2.S2.16S.S55,U.T3.R2.S3.16S.S67,U.T3.R3.S1.16S.S79,U.T3.R3.S2.16S.S91,U.T3.R3.S3.16S.S8,U.T3.R4.S1.16S.S20,U.T3.R4.S2.16S.S32,U.T3.R4.S3.16S.S44,U.T4.R1.S1.16S.S10,U.T4.R1.S2.16S.S22,U.T4.R1.S3.16S.S34,U.T4.R2.S1.16S.S46,U.T4.R2.S2.16S.S58,U.T4.R2.S3.16S.S70,U.T4.R3.S1.16S.S82,U.T4.R3.S2.16S.S94,U.T4.R3.S3.16S.S11,U.T4.R4.S1.16S.S23,U.T4.R4.S2.16S.S35,U.T4.R4.S3.16S.S47
Unassigned;Other;Other;Other;Other;Other;Other,0.006363531,0.005759705,0.004341534,0.003933026,0.004238259,0.006036932,0.005736138,0.00538929,0.006653438,0.004843173,0.00388673,0.006088623,0.005598477,0.006553984,0.006456729,0.004388926,0.009527212,0.004830918,0.004381414,0.00714626,0.006550474,0.006704178,0.005678592,0.006308786,0.004901961,0.004959263,0.006751345,0.005850585,0.005903461,0.006942034,0.005294582,0.005456868,0.00647433,0.006151743,0.007101792,0.006510565,0.004068256,0.006508876,0.006620249,0.005032772,0.005924721,0.007106479,0.005894591,0.005103858,0.007010688,0.008368708,0.002866277,0.004799107,0.008522727,0.004267266,0.00552868,0.006026889,0.004159926,0.006472492,0.006139763,0.004843979,0.008230453,0.006860465,0.006057835,0.005231434,0.005420954,0.005425372,0.006181164,0.007628373,0.005143445,0.008074605,0.006651147,0.004670236,0.008527572,0.005397956,0.002661639,0.004688393,0.008095293,0.008768811,0.008154359,0.007123672,0.006954737,0.00736394,0.006037567,0.006334216,0.004124656,0.006759853,0.006539764,0.007874928,0.007283835,0.007435808,0.005309326,0.007326007,0.005145798,0.005924033,0.008190195,0.006497948,0.008940125,0.006695361,0.006601438,0.003541913
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae];g__Elizabethkingia;s__meningoseptica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00033761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011485,0,0,0,0,0,0.000116782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__;g__;s__,0.006826333,0.00956111,0.005009462,0.008877402,0.005040092,0.004498106,0.006635924,0.007223942,0.006886892,0.004612546,0.006329817,0.006201376,0.011644833,0.012073129,0.007929316,0.008665316,0.007264499,0.009779663,0.004612014,0.01071939,0.007018365,0.007901353,0.008404316,0.009176417,0.004787962,0.005077341,0.005149331,0.00450045,0.005208936,0.004975124,0.005181931,0.007082317,0.006701499,0.006607428,0.006425431,0.007881211,0.004859306,0.004378698,0.004337404,0.008309925,0.006040892,0.006040507,0.00543227,0.004154303,0.004022526,0.007155852,0.001874104,0.001227679,0.006392045,0.004154969,0.008868924,0.007185906,0.007973192,0.009477577,0.009711989,0.005632534,0.00670194,0.007790698,0.011658475,0.008074605,0.006416639,0.008311209,0.009440324,0.012296482,0.013601554,0.015694302,0.006983705,0.011846452,0.012052302,0.012633513,0.009093934,0.007661521,0.009714352,0.008531817,0.006891007,0.007707579,0.007752822,0.006558509,0.010174419,0.010825751,0.007676444,0.006989001,0.005371949,0.00671685,0.008928571,0.006506332,0.007848569,0.007326007,0.005717553,0.007782553,0.004891366,0.005585955,0.003881896,0.011119082,0.010137923,0.009090909
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__;s__,0.005322226,0.003801405,0.004675498,0.004045398,0.001947308,0.00295928,0.003599145,0.003554638,0.005602895,0.008648524,0.004886174,0.003157064,0.002015452,0.004944234,0.004757589,0.005401756,0.007264499,0.004123954,0.00322841,0.008694616,0.004444964,0.013647791,0.005678592,0.004358798,0.005585955,0.004250797,0.007666781,0.00630063,0.010880889,0.005322226,0.004168075,0.004992453,0.004884144,0.006265664,0.00789088,0.007195888,0.002260142,0.003076923,0.005364684,0.004564607,0.006273234,0.004737652,0.00566343,0.003442136,0.003218021,0.005215282,0.004960864,0.004017857,0.002485795,0.002807412,0.004492053,0.003708855,0.003813266,0.002773925,0.000781424,0.001802411,0.00223398,0.002790698,0.002857469,0.003525532,0.002323266,0.001385201,0.001685772,0.001138563,0.001257287,0.002388263,0.001995344,0.002050347,0.001819215,0.004249454,0.000776311,0.002058319,0.002428588,0.001066477,0.001493052,0.003153101,0.002280242,0.0014958,0.002347943,0.001842681,0.002635197,0.001145738,0.001751723,0.001621309,0.003289474,0.000697107,0.003000923,0.002747253,0.001257862,0.001510048,0.001023774,0.001709986,0.025055876,0.00155428,0.001886125,0.002007084
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000341997,0,0,0,0,0,0,0,0,0.000227842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__,0.000809904,0.000115194,0.000222643,0.000674233,0,0.000355114,0.00033742,0.000114666,0.000350181,0.000345941,0.000555247,0.000789266,0,0.000804875,0,0.000225073,0.00035727,0.000235655,0.0001153,0.002501191,0.000116973,0.003471807,0.001135718,0.000114705,0.00125399,0.000354233,0.000457718,0.000562556,0.001620558,0.000578503,0.000225301,0.000232207,0.000227169,0.000341763,0,0.004111936,0,0.000118343,0.000114142,0.000117041,0,0.004974535,0.00023116,0.001305638,0,0.000727714,0.026898909,0,0.000236742,0.000224593,0.000806266,0.000463607,0.010399815,0.000462321,0.000223264,0,0.000705467,0.000116279,0.000228598,0.001819629,0.000221263,0.000115433,0,0.000113856,0.000114299,0.00216081,0.000221705,0.000683449,0.004320637,0.0004594,0,0.010634648,0.000231294,0,0.00034455,0.000583908,0.000114012,0.001725923,0,0.000575838,0.000229148,0.000343721,0,0,0.000587406,0.000116185,0.000461681,0.000457875,0.000686106,0.000116158,0,0.000113999,0.00364663,0.00083692,0.000707297,0.000118064
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__cryoconitis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001153,0.000714626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000346661,0,0,0,0,0.000116279,0,0,0,0,0,0,0,0,0,0.000569541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00034626,0.000457875,0,0,0,0.000113999,0,0,0,0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Solitalea;Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000113908,0,0,0,0,0,0,0,0,0,0,0,0,0.000114574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000113727,0,0,0,0,0,0,0,0,0.00011485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011558,0,0,0,0,0,0,0,0,0,0,0.000114299,0,0,0,0,0,0,0,0,0,0,0,0.000228024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__faecium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000231107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__multivorum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001913122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000118441,0,0,0,0,0,0,0,0,0,0,0,0.000346741,0,0,0,0.000116279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000115168,0,0,0.000116782,0,0,0,0,0,0,0,0,0,0,0.00011956,0,0
k__Bacteria;p__Bacteroidetes;c__VC2_1_Bac22;o__;f__;g__;s__,0,0.000115194,0,0,0,0.000236742,0,0,0,0,0,0,0,0,0.000226552,0,0.00011909,0,0,0,0,0,0.000113572,0.000114705,0,0,0,0,0,0,0,0,0.000113585,0,0,0,0,0,0,0,0,0,0,0,0,0.000242571,0,0,0.000118371,0,0,0,0.000231107,0,0,0,0.000117578,0,0,0,0,0,0.000112385,0.000227713,0,0.000113727,0.00044341,0.000227816,0,0.00011485,0,0,0,0,0,0,0,0,0,0,0.000114574,0,0,0,0,0,0,0,0.000228702,0,0,0.000113999,0,0,0,0
k__Bacteria;p__Bacteroidetes;c__[Rhodothermi];o__[Rhodothermales];f__Rhodothermaceae;g__Rubricoccus;s__,0,0,0,0,0,0,0,0,0.000116727,0,0,0,0,0,0,0,0.00011909,0,0,0,0,0,0,0,0,0.000118078,0,0,0,0,0,0.000116104,0,0.000113921,0.000338181,0.00011422,0,0.000118343,0.000228284,0,0.000116171,0.000236883,0.00011558,0,0.000114929,0.000121286,0.000110241,0.000669643,0,0,0,0,0,0,0.000111632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000229148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__;g__;s__,0.000231401,0,0.000222643,0.000112372,0,0,0,0.000229331,0.000233454,0.000230627,0.000333148,0.000338257,0.000223939,0.000229964,0,0.000112537,0.00011909,0.000117827,0.0001153,0.000952835,0.000467891,0.000239435,0.000454287,0,0.000113999,0.000236155,0,0.000112511,0,0.000115701,0,0.000116104,0,0.000227842,0.000225454,0.000228441,0.000226014,0.000473373,0.000228284,0,0,0,0.00011558,0.000237389,0,0.000121286,0,0,0.000118371,0,0.000115181,0.000115902,0,0.00023116,0.000334896,0.000112651,0.000235156,0.000232558,0.000457195,0.000454907,0,0.000115433,0.000112385,0.000341569,0.000342896,0.00034118,0,0.000341725,0.000113701,0.00011485,0,0.000114351,0,0,0.000574251,0.000467126,0.000342036,0,0,0.000115168,0.000343721,0.000114574,0.000116782,0.000347423,0,0.000116185,0.00023084,0.000343407,0.000114351,0.000116158,0,0,0,0.00011956,0.000235766,0.000118064
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;Other;Other,0,0,0,0,0,0,0,0,0,0.000115314,0,0,0.00011197,0,0.000113276,0,0.000595451,0,0,0,0,0,0,0,0.000113999,0.000118078,0,0,0.000115754,0.000115701,0,0,0,0,0.000225454,0.000228441,0,0,0.000114142,0,0.000116171,0.000236883,0,0,0,0,0.000330724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110902,0,0,0,0,0,0,0,0,0,0.000114574,0,0,0.000115808,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__;s__,0.034363068,0.034903813,0.025047312,0.032925048,0.024742268,0.043205492,0.028568215,0.024653136,0.043889343,0.028251845,0.031538034,0.025594768,0.040532975,0.031965045,0.036474853,0.038937655,0.033940693,0.033698598,0.028017987,0.036088614,0.029945023,0.027056147,0.033503691,0.039343886,0.045143639,0.037784862,0.038677194,0.038253825,0.035305012,0.039222492,0.040666892,0.04365494,0.034529759,0.037366143,0.044076203,0.041233581,0.030172901,0.03183432,0.034356809,0.034410112,0.039614312,0.040388488,0.034442903,0.032997033,0.022641076,0.041115828,0.042332709,0.035491071,0.05172822,0.034475014,0.046878599,0.062007418,0.061012249,0.046232085,0.04498772,0.046862679,0.042092887,0.045581395,0.050634358,0.045945639,0.024892134,0.039016507,0.037761295,0.051007628,0.060464053,0.042192653,0.031260392,0.047044082,0.033655486,0.042494545,0.048131308,0.032361349,0.046605759,0.041711103,0.043757896,0.033049165,0.03716794,0.028190082,0.039132379,0.048140044,0.045829514,0.042621448,0.031531005,0.038911407,0.042175752,0.037527594,0.052285319,0.048649267,0.049285306,0.042281333,0.03787965,0.040697674,0.036113398,0.049497848,0.046092184,0.045218418
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__Chitinophaga;s__,0.000231401,0.000115194,0.000222643,0.000449489,0,0.000236742,0,0,0.000350181,0.000115314,0.000111049,0.000112752,0,0.000344947,0.000226552,0.001462975,0.000595451,0.000117827,0.0001153,0,0.000116973,0.00047887,0.000681431,0.000688231,0.002849977,0.000236155,0.00011443,0.000562556,0,0,0.000450603,0.000464414,0.000681508,0.000113921,0.000338181,0.000342661,0.000565036,0,0.000342427,0,0.000348513,0,0.000693481,0.000593472,0.000459717,0.000121286,0.000661449,0.000334821,0.000236742,0.000336889,0,0,0.000231107,0.000577901,0,0.000901205,0.000235156,0,0.000228598,0.000568634,0.000221263,0.000115433,0,0,0.000114299,0.000227454,0.00044341,0.000113908,0.000341103,0.00034455,0.000110902,0.000228702,0.000346941,0.000118497,0.000918801,0,0,0.000115062,0.000223614,0.000230335,0.000572869,0.000343721,0,0,0.000117481,0.000116185,0.00034626,0.000801282,0.000686106,0.000580788,0.000113753,0.000341997,0,0.00035868,0.001296711,0.000118064
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__Flavihumibacter;s__,0.000694203,0.000115194,0.000333964,0.001797955,0.001145475,0.001657197,0,0,0.000466908,0.000691882,0.000333148,0.000112752,0.001679543,0.001149822,0.000113276,0.000675219,0.00011909,0.000117827,0.0001153,0.000119104,0,0.000239435,0,0,0.000455996,0,0.00011443,0.001687669,0.000926033,0.000694203,0.001239157,0.000812725,0.002271695,0.000341763,0.000338181,0.001484866,0,0,0.000228284,0.001287453,0.000929368,0.00094753,0,0,0.000114929,0,0,0,0.00094697,0.000898372,0.000806266,0.002433936,0.001848856,0.001040222,0,0,0.000823045,0.000232558,0.000342896,0.000796088,0.000442527,0.0003463,0.000561924,0.000910851,0.001257287,0.000909815,0,0.000113908,0.000113701,0.000803951,0.001663524,0.000343053,0.000925176,0.000592487,0.0002297,0.000116782,0.000456048,0,0,0,0.000229148,0.000229148,0.000233563,0.000115808,0.000469925,0.001045661,0.00034626,0.000114469,0.000343053,0,0.000682516,0.000113999,0.000117633,0.00047824,0.000235766,0.000354191
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__Flavisolibacter;s__,0.002892514,0.002303882,0.001892464,0.001348466,0.00137457,0.003314394,0.002586886,0.002063983,0.003501809,0.003113469,0.003220433,0.00248055,0.001119695,0.000919857,0.004531038,0.002925951,0.002619983,0.002356545,0.005765018,0.003454026,0.004561937,0.001795762,0.003520727,0.002294104,0.001937984,0.00307002,0.003547317,0.002475248,0.00335687,0.003239616,0.003041568,0.002902589,0.004770559,0.006037822,0.003269079,0.003083952,0.003955249,0.003905325,0.004679831,0.003394195,0.004298327,0.003790122,0.004969949,0.00379822,0.004827031,0.004244997,0.006063279,0.005580357,0.006155303,0.004604155,0.008062658,0.005447381,0.003119945,0.004507628,0.00379549,0.006083136,0.004820694,0.006627907,0.006857927,0.006937337,0.004204005,0.004501905,0.00303439,0.002390983,0.004343354,0.004890254,0.006651147,0.007176216,0.008754974,0.004364305,0.002218033,0.00434534,0.007632705,0.005687878,0.005742506,0.005722294,0.007182761,0.006098263,0.005478533,0.008752735,0.008363886,0.004697525,0.002685975,0.004169079,0.008458647,0.005460672,0.005540166,0.006524725,0.006632361,0.005227088,0.003640086,0.005243958,0.002823197,0.003586801,0.005186844,0.003896104
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__Niabella;s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00034118,0,0,0,0,0,0,0,0,0.000113701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000114351,0,0,0,0,0,0,0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__Niastella;s__,0,0.000230388,0,0.000112372,0,0,0,0.000114666,0.000116727,0,0,0,0,0.000344947,0,0.00033761,0.00011909,0.000117827,0.000345901,0.000238209,0,0,0,0,0.000455996,0.000118078,0.00011443,0,0.000115754,0.000347102,0,0.000232207,0,0,0,0.00011422,0.000113007,0,0.000342427,0.000117041,0.000116171,0,0.00011558,0.000237389,0.000344788,0.000485143,0,0.00078125,0.000236742,0,0.000115181,0,0.000115554,0,0.000111632,0,0,0.000116279,0.000571494,0,0.000331895,0,0,0.000227713,0,0,0,0.000113908,0,0.00034455,0,0.000343053,0.000115647,0,0.00011485,0.000116782,0.000114012,0.000115062,0,0,0,0,0.000116782,0,0,0,0,0.000114469,0.000228702,0,0,0,0.000235266,0.00011956,0.000117883,0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__Sediminibacterium;s__,0,0,0.000111321,0.000674233,0,0.000118371,0,0,0,0,0.000111049,0.000112752,0,0.000344947,0.000113276,0.000225073,0.00011909,0.000117827,0,0.000476417,0.000116973,0,0,0.00022941,0.000113999,0,0.00011443,0,0,0,0,0,0,0,0,0.00011422,0,0,0,0,0,0,0,0,0,0,0,0,0.000473485,0.000786075,0,0.000463607,0.000346661,0,0.000334896,0,0.000705467,0,0.000457195,0.000568634,0.000110632,0.0003463,0,0.000227713,0.000228598,0.000227454,0,0.000113908,0.000341103,0,0.000110902,0.000114351,0,0,0,0.000116782,0.000114012,0,0.000223614,0.000230335,0,0.000114574,0.000116782,0.000115808,0.000117481,0,0,0,0.000343053,0,0.000113753,0,0.000117633,0,0.000117883,0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__Segetibacter;s__,0.000462802,0.000345582,0.000111321,0.000224744,0.000114548,0.000236742,0.000112473,0.001261323,0.000466908,0,0.000999445,0.000789266,0.000335909,0,0.000113276,0.000112537,0.00011909,0.000471309,0.001037703,0.000238209,0.000935782,0.000239435,0.000567859,0.000688231,0.000455996,0.000236155,0.000686577,0.000562556,0,0.000347102,0.000450603,0,0.000340754,0.001139212,0.000338181,0.000342661,0.000904057,0.000710059,0.000114142,0.000351124,0.001045539,0.000473765,0.000462321,0.000712166,0.000114929,0.000606428,0.00077169,0.000892857,0.000473485,0.000561482,0.000345543,0.000347705,0.000924428,0.001271382,0.00055816,0.000563253,0.000587889,0.000581395,0.001371585,0.000909815,0.000553159,0.000577167,0.000337154,0.001252419,0.001142988,0.000454907,0.000332557,0.000113908,0.003411029,0.00011485,0,0.001715266,0.000231294,0.00047399,0.0002297,0.000583908,0.000342036,0.000345185,0.00033542,0.000806173,0.001260312,0.000572869,0.000116782,0.000231616,0.001292293,0.000929476,0.000923361,0.000572344,0.000571755,0.00046463,0.000113753,0.000455996,0.000235266,0.00083692,0.000589414,0.000236128
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Saprospiraceae;g__;s__,0.003586718,0.004722958,0.005343426,0.002921677,0.005040092,0.00686553,0.001799573,0.002063983,0.005252714,0.002652214,0.005219323,0.002029541,0.008397716,0.00528918,0.004531038,0.004051317,0.004287245,0.005420054,0.00322841,0.006550738,0.005146801,0.000838022,0.004883589,0.005161734,0.004787962,0.009682371,0.006751345,0.006075608,0.005903461,0.005437927,0.005294582,0.0065018,0.006928669,0.004670768,0.005185436,0.007538549,0.004972313,0.007455621,0.008788951,0.007139513,0.005460037,0.006395831,0.005894591,0.008783383,0.004597173,0.006428138,0.00385845,0.005133929,0.006273674,0.003144301,0.009214467,0.009388039,0.006355443,0.003929727,0.008260772,0.00506928,0.006114051,0.004302326,0.005714939,0.004207893,0.002765793,0.003809304,0.004383007,0.006148241,0.008229512,0.007847151,0.001662787,0.00501196,0.003865833,0.005742506,0.003992459,0.002058319,0.003700705,0.005450883,0.003904904,0.001634941,0.004674495,0.001265677,0.005366726,0.006794887,0.007332722,0.007447296,0.001868504,0.001621309,0.002467105,0.004415011,0.006348107,0.005608974,0.005603202,0.004762458,0.004777613,0.003419973,0.002352664,0.005978001,0.00459743,0.004958678
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Saprospiraceae;g__Haliscomenobacter;s__,0.000231401,0.000115194,0,0,0,0,0,0,0,0,0,0.000112752,0,0,0,0.000225073,0,0.000117827,0.000230601,0.000119104,0,0,0,0,0,0.000118078,0.000228859,0,0.000231508,0,0,0,0,0,0,0,0,0.000236686,0,0,0,0,0,0,0,0,0,0.000111607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__;f__;g__;s__,0,0,0.000111321,0,0.000229095,0,0,0.000229331,0,0,0,0,0.00011197,0.000114982,0.000453104,0,0,0.000117827,0.000230601,0,0,0,0.000227144,0,0.000113999,0,0,0.000675068,0.000231508,0,0.000225301,0.000116104,0,0,0,0,0,0.000118343,0,0.000117041,0.000232342,0,0.00011558,0.000118694,0,0,0,0,0,0,0,0.00069541,0.000231107,0.000346741,0.000223264,0,0,0,0,0,0,0,0,0.000569282,0.000228598,0.00034118,0,0.000113908,0,0,0.000332705,0,0.000231294,0.000355492,0,0,0,0.000230123,0,0,0,0.000114574,0,0.000231616,0,0.000116185,0.00023084,0,0,0,0,0,0.000117633,0.00023912,0.000117883,0.000236128
k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;Other;Other;Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000119104,0,0.000119717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__;g__;s__,0,0,0.000111321,0,0,0.000118371,0,0.000114666,0,0.000115314,0,0,0,0.000114982,0,0,0,0,0,0,0.000116973,0,0,0.000114705,0.000113999,0.000118078,0,0,0,0,0,0.000116104,0.000113585,0,0.000112727,0,0,0.000118343,0,0,0,0,0,0,0,0,0,0.000223214,0,0.000112296,0,0.000115902,0,0,0,0.000337952,0,0,0,0,0.000221263,0,0.000112385,0.000113856,0,0,0,0,0,0.00011485,0,0,0.000115647,0,0,0.000116782,0,0,0.000111807,0.000115168,0,0,0,0.000347423,0,0,0,0,0,0,0,0,0,0,0,0
